tweet_id,image_numero,stance_target,stance_label
1310977055119507456,0,Donald Trump,Against
1310977055119507456,1,Donald Trump,Against
1310977055119507456,2,Donald Trump,Against
1310989053429514247,0,Donald Trump,Against
1300957878719832064,0,Donald Trump,Favor
1295556204811485184,0,Donald Trump,Against
1310993749225299968,0,Donald Trump,Against
1308864110956875779,0,Donald Trump,Against
1310334305395236865,0,Donald Trump,Against
1310991927110782976,0,Donald Trump,Against
1310991927110782976,1,Donald Trump,Against
1310966495837552642,0,Donald Trump,Against
1308959422815834114,0,Donald Trump,Favor
1309264136493240320,0,Donald Trump,Against
1311034439569420288,0,Donald Trump,Against
1287702493603008517,0,Donald Trump,Against
1309991141006168065,0,Donald Trump,Against
1311022586051137543,0,Donald Trump,Against
1310978356477939714,0,Donald Trump,Against
1310811269625069568,0,Donald Trump,Favor
1310597300918444032,0,Donald Trump,Against
1310962280096505856,0,Donald Trump,Against
1310265141645246470,0,Donald Trump,Against
1310820981179547653,0,Donald Trump,Against
1248139696544174080,0,Donald Trump,Against
1309573186514608128,0,Donald Trump,Against
1311018921185521664,0,Donald Trump,Against
1310724010544713729,0,Donald Trump,Against
1310972390919360513,0,Donald Trump,Against
1310972390919360513,1,Donald Trump,Against
1310972390919360513,2,Donald Trump,Against
1310972390919360513,3,Donald Trump,Against
1309647063664058368,0,Donald Trump,Against
1311020072098500611,0,Donald Trump,Against
1310562881612677120,0,Donald Trump,Against
1310562881612677120,1,Donald Trump,Against
1310628854730387457,0,Donald Trump,Against
1310972613158559746,0,Donald Trump,Against
1311033769877536778,0,Donald Trump,Against
1242165562882625536,0,Donald Trump,Against
1309859185123667968,0,Donald Trump,Against
1310985796774694913,0,Donald Trump,Against
1311017895472893954,0,Donald Trump,Against
1309132053171052557,0,Donald Trump,Against
1310892537469689856,0,Donald Trump,Against
1301494479782776834,0,Donald Trump,Against
1310615680992059397,0,Donald Trump,Against
1310964798365093894,0,Donald Trump,Against
1310232290266615812,0,Donald Trump,Against
1286761743579074561,0,Donald Trump,Favor
1309273442664042497,0,Donald Trump,Against
1293603221496188929,0,Donald Trump,Favor
1293603221496188929,1,Donald Trump,Favor
1293603221496188929,2,Donald Trump,Favor
1310768471949611008,0,Donald Trump,Against
1310954671016759296,0,Donald Trump,Favor
1310951967418658818,0,Donald Trump,Against
1310962969791037440,0,Donald Trump,Against
1311013884455800832,0,Donald Trump,Against
1311002053624229888,0,Donald Trump,Against
1310968895788834817,0,Donald Trump,Against
1310398955620986885,0,Donald Trump,Against
1310988035006365697,0,Donald Trump,Against
1310680009246351360,0,Donald Trump,Against
1311037636086296578,0,Donald Trump,Against
1230322142148841472,0,Donald Trump,Neutral
1310700817037627394,0,Donald Trump,Against
1309559655887060992,0,Donald Trump,Against
1311034943628365826,0,Donald Trump,Against
1309903705253318663,0,Donald Trump,Against
1310056064986079234,0,Donald Trump,Against
1310982169708261378,0,Donald Trump,Against
1300942505740054528,0,Donald Trump,Against
1310992808241635333,0,Donald Trump,Against
1310919024293883905,0,Donald Trump,Favor
1304709533680402432,0,Donald Trump,Favor
1310850015967895552,0,Donald Trump,Against
1310991650358001664,0,Donald Trump,Against
1308813451972796422,0,Donald Trump,Against
1310617725358792705,0,Donald Trump,Against
1311010663674843141,0,Donald Trump,Against
1311014933165875200,0,Donald Trump,Against
1309155660584677381,0,Donald Trump,Neutral
1310924137028825089,0,Donald Trump,Against
1310170396956659712,0,Donald Trump,Against
1311009779217829895,0,Donald Trump,Against
1309099678852669440,0,Donald Trump,Against
1310276505889640449,0,Donald Trump,Against
1310276505889640449,1,Donald Trump,Against
1310276505889640449,2,Donald Trump,Against
1310276505889640449,3,Donald Trump,Against
1310845756732051456,0,Donald Trump,Favor
1310959035450109952,0,Donald Trump,Against
1308906787811274752,0,Donald Trump,Against
1311039751684681728,0,Donald Trump,Against
1311000175234740226,0,Donald Trump,Against
1310967923771465728,0,Donald Trump,Against
1310984275890589696,0,Donald Trump,Against
1310984275890589696,1,Donald Trump,Against
1311004755922055169,0,Donald Trump,Against
1308861718366507010,0,Donald Trump,Against
1311017979493191682,0,Donald Trump,Neutral
1309820949957574665,0,Donald Trump,Favor
1311034506648846336,0,Donald Trump,Favor
1310784852619386881,0,Donald Trump,Favor
1310967230511841286,0,Donald Trump,Neutral
1310967230511841286,1,Donald Trump,Neutral
1310967230511841286,2,Donald Trump,Neutral
1310967230511841286,3,Donald Trump,Neutral
1310954375058255872,0,Donald Trump,Against
1293565936377634816,0,Donald Trump,Against
1293565936377634816,1,Donald Trump,Against
1310959302975336450,0,Donald Trump,Against
1310968155574095873,0,Donald Trump,Against
1310395085469564929,0,Donald Trump,Against
1310899509086621698,0,Donald Trump,Against
1310350761499398145,0,Donald Trump,Against
1311038721936908288,0,Donald Trump,Against
1310742432691048448,0,Donald Trump,Against
1310951680926724099,0,Donald Trump,Against
1299207321223147520,0,Donald Trump,Favor
1310720004308992012,0,Donald Trump,Against
1311039639197814784,0,Donald Trump,Favor
1310987267356454917,0,Donald Trump,Against
1310781146767208454,0,Donald Trump,Against
1310992769125691392,0,Donald Trump,Against
1311012404789235715,0,Donald Trump,Neutral
1309317586493100033,0,Donald Trump,Neutral
1311013851526127621,0,Donald Trump,Against
1309530752426618881,0,Donald Trump,Against
1311004825207922700,0,Donald Trump,Against
1310326182412521474,0,Donald Trump,Against
1311007288635912192,0,Donald Trump,Favor
1310979759103500292,0,Donald Trump,Favor
1310557069741883392,0,Donald Trump,Against
1311008971415789569,0,Donald Trump,Against
1311039582876696578,0,Donald Trump,Against
1311023485494480899,0,Donald Trump,Against
1310953198140747777,0,Donald Trump,Against
1308712826945503236,0,Donald Trump,Against
1310950315064266752,0,Donald Trump,Against
1310973848167342088,0,Donald Trump,Against
1310957724759461896,0,Donald Trump,Favor
1308885112088670210,0,Donald Trump,Against
1311033581347778564,0,Donald Trump,Against
1311032451851001856,0,Donald Trump,Against
1311038874483785728,0,Donald Trump,Against
1308873631745937408,0,Donald Trump,Neutral
1308873631745937408,1,Donald Trump,Neutral
1308873631745937408,2,Donald Trump,Neutral
1308873631745937408,3,Donald Trump,Neutral
1311038745353826306,0,Donald Trump,Against
1282481454090539008,0,Donald Trump,Neutral
1309675427418562563,0,Donald Trump,Against
1295865560144785408,0,Donald Trump,Neutral
1310948985251786755,0,Donald Trump,Against
1294073676548145152,0,Donald Trump,Against
1300940771873431552,0,Donald Trump,Neutral
1310713038752878592,0,Donald Trump,Against
1309306597760524288,0,Donald Trump,Favor
1310962792225271814,0,Donald Trump,Against
1309798135007502337,0,Donald Trump,Against
1310961453155966976,0,Donald Trump,Favor
1310706341107789824,0,Donald Trump,Against
1310945549659639816,0,Donald Trump,Against
1310815270672490496,0,Donald Trump,Against
1308888880096182275,0,Donald Trump,Neutral
1308888880096182275,1,Donald Trump,Neutral
1308888880096182275,2,Donald Trump,Neutral
1308888880096182275,3,Donald Trump,Neutral
1311039266877779974,0,Donald Trump,Against
1302968153903976448,0,Donald Trump,Favor
1310993923331031044,0,Donald Trump,Favor
1310922434762207234,0,Donald Trump,Favor
1309530549833302017,0,Donald Trump,Against
1293376322664837126,0,Donald Trump,Against
1310628800435118081,0,Donald Trump,Against
1310969339391156224,0,Donald Trump,Favor
1283374811822075905,0,Donald Trump,Against
1310928881021526017,0,Donald Trump,Against
1302042111122915329,0,Donald Trump,Against
1310251379051593729,0,Donald Trump,Against
1311013100850753536,0,Donald Trump,Against
1292126394772787201,0,Donald Trump,Favor
1310294881835900929,0,Donald Trump,Against
1310972501007237120,0,Donald Trump,Against
1310972501007237120,1,Donald Trump,Against
1310972501007237120,2,Donald Trump,Against
1310972501007237120,3,Donald Trump,Against
1310103991615852547,0,Donald Trump,Against
1310977638425661440,0,Donald Trump,Against
1310639794284834816,0,Donald Trump,Against
